ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Suunto 5,SS050304000,"HKD 2,990","HKD 2,392",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900780/cm-0/d-0,Diameter 46 mm Thickness 14.6 mm Shape Round Glass Mineral Glass,Color Multi-color,Color White Width 21 mm Material Silicon,Smart watch,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5270136531438784047.JPG_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/4890683676839278045.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5291403819227962356.jpg_700x650.ashx,N\A,N\A
Casio G-Shock,GBDH1000-7A9,"HKD 3,680",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906680/cm-0/d-0,Diameter 63 mm Thickness 20.4 mm Shape Round Glass Mineral Glass,Color Black,Color White Width Material PU,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5311241632706036682.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Fitbit Ionic,FB503CPBU,"HKD 2,598","HKD 1,558",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904639/cm-0/d-0,Diameter       28 mm x 20 mm       Thickness               Shape       Square       Glass,Color,Color               Width               Material,Smart Watch,,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/4918100126307699183.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Instinct Solar,010-02293-59,"HKD 3,699","HKD 3,144",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906566/cm-0/d-0,Diameter 45 mm Thickness 15.3 mm Shape Round Glass Power Glass,Color Black,Color Multi Color Width Material Silicone,GPS Solar,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/5192863739942847721.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5396212257637602496.jpg_700x650.ashx,N\A,N\A,N\A
Garmin Fenix 6 Pro Solar,010-02410-42,"HKD 9,299","HKD 7,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906219/cm-0/d-0,Diameter 47 mm Thickness 15.1 mm Shape Round Glass Power Glass,Color Black,Color Black Width Material Silicon,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/5214424551553976961.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202007/4684015894179625188.jpg_700x650.ashx,N\A,N\A,N\A
Suunto 9,SS050405000,"HKD 6,090","HKD 4,872",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904657/cm-0/d-0,Diameter       50 mm       Thickness               Shape       Round       Glass,Color,Color               Width               Material,Smart Watch,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5419275603674476840.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Vivomove HR (L size),010-01850-54,"HKD 2,799","HKD 1,819",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904529/cm-0/d-0,DIAMETER     43 mm         STRAP MATERIAL     Silicone         MOVEMENT     Smart Watch,CASE DIAMETER     43 mm,MATERIAL     Silicone         MOVEMENT     Smart Watch,N\A,N\A,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202002/5218472864216045732.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202002/4763732983922769147.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202002/5224356619711795307.jpg_700x650.ashx,N\A,N\A
Garmin Forerunner 645M,010-01863-G1,"HKD 3,899","HKD 2,534",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904651/cm-0/d-0,Diameter 43 mm Thickness Shape Round Glass,Color,Color Width Material,Smart Watch,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/5101050710441327511.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Forerunner 645M,010-01863-G0,"HKD 3,899","HKD 2,534",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904650/cm-0/d-0,Diameter 43 mm Thickness Shape Round Glass,Color,Color Width Material,Smart Watch,,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/4766832346920602769.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Vivoactive 3M,010-01985-42,"HKD 3,099","HKD 2,014",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900960/cm-0/d-0,Diameter       43.1 mm       Thickness               Shape       Round       Glass       Chemically Strengthened Glass,Color,Color       Blue       Width       20 mm       Material       Silicone,Smart Watch,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/5516985412589894634.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/5290971642042388612.jpg_700x650.ashx,N\A,N\A,N\A
Garmin Fenix 5S Plus,010-01989-64,"HKD 6,999","HKD 4,549",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904647/cm-0/d-0,Diameter 51 mm Thickness Shape Round Glass,Color,Color Width Material,Smart Watch,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/4935989311922584200.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Fenix 5X Plus,010-01989-66,"HKD 8,799","HKD 5,719",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900963/cm-0/d-0,Diameter       51 mm       Thickness               Shape       Round       Glass       Sapphire Glass,Color,Color       Black       Width       26 mm       Material       Silicone,Smart Watch,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/5162519087838013148.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/5548397144512851907.jpg_700x650.ashx,N\A,N\A,N\A
Garmin Fenix 5S Plus,010-01987-78,"HKD 6,499","HKD 4,224",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904646/cm-0/d-0,Diameter 42 mm Thickness Shape Round Glass,Color,Color Width Material,Smart Watch,,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4803670270719595912.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Fenix 5S Plus,010-01987-73,"HKD 6,499","HKD 4,224",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904645/cm-0/d-0,Diameter 42 mm Thickness Shape Round Glass,Color,Color Width Material,Smart Watch,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5728671816000802432.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Garmin Fenix 5S Plus,010-01987-79,"HKD 6,999","HKD 4,549",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900949/cm-0/d-0,Diameter       42 mm       Thickness               Shape       Round       Glass       Sapphire Glass,Color,Color       Black       Width       20 mm       Material       Silicone,Smart Watch,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/4829042382960641521.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/5263991388386896223.jpg_700x650.ashx,N\A,N\A,N\A
Garmin Fenix 5S Plus,010-01987-85,"HKD 7,199","HKD 4,679",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900950/cm-0/d-0,Diameter       42 mm       Thickness               Shape       Round       Glass       Sapphire Glass,Color,Color       Khaki       Width       20 mm       Material       Silicone,Smart Watch,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202003/4728614649208829114.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/4676723347305673678.jpg_700x650.ashx,N\A,N\A,N\A
